1,7.7,,E
2,10,,
3,8.2,9.1,E
4,,,
5,8,8.8,E
6,9.4,,E
7,9.1,8.1,E
8,,,E
9,8.6,9.2,E
10,10,,
11,,,
12,5.9,4.5,E
13,6.7,,E
14,8.4,,E
15,9.1,9.4,E
16,9.2,,E
17,7.9,,E
18,8,,E
19,8.5,,E
20,9.4,,M
21,9.7,,M
22,8.1,,E
23,,,
24,,,E
25,8.2,,E
26,8.6,,E
27,9.5,,M
28,,,E
29,8.9,9.7,E
30,8.8,,E
31,9.6,,M
32,9,,E
33,,,M
34,8.6,9,E
35,,,M
36,9.3,,E
37,9.3,,M
38,,,
39,9.3,,E
40,8,,E
41,8.7,,M
42,8.8,,M
43,8.7,,E
44,9.6,9.5,M
45,,,E
46,9.8,,M
47,,,M
48,,,M
49,9.9,,E10
50,9.5,9,M
51,8,,M
52,8.8,,M
53,9.2,9.7,T
54,9.5,,M
55,7.5,,E
56,9.7,,E10
57,,,E10
58,9.7,9.6,E
59,8.6,,E
60,8.7,,M
61,,,M
62,8.9,,E
63,8.6,,E
64,9.4,9.7,E10
65,9,,M
66,8.3,,E
67,8.3,,E
68,9.7,,E
69,8.3,,E
70,8.7,,E
71,8.5,,E
72,9.9,10,E10
73,9,,E
74,10,,M
75,8.6,,E
76,8.8,,T
77,8.9,,E
78,9.5,,E
79,9.5,,M
80,10,9,M
81,,9.5,E
82,6.9,,M
83,7.5,,E10
84,7.5,,M
85,9.1,8,T
86,,,E
87,8.3,,E
88,9.3,,M
89,9,,T
90,,,M
91,9.6,9.5,T
92,8.5,,E
93,8.7,,T
94,8.4,,E10
95,9.6,9,M
96,9.2,,E
97,7,,E
98,,,M
99,7.1,,E
100,9,,E
101,,,E
102,6.1,,
103,9.1,,T
104,9.7,,M
105,9.3,,M
106,6.5,,E
107,10,,E
108,9,9,M
109,9.2,,T
110,9.4,,T
111,9,10,T
112,8,8.3,E
113,,,M
114,8.6,,M
115,8.8,,E
116,9.6,,T
117,8.1,,E
118,8.2,,E10
119,8.5,,E
120,9.8,,T
121,7.1,,T
122,,,E
123,9.6,,M
124,8.5,,T
125,8.8,,M
126,,,
127,8.3,8.9,E
128,9.9,10,E
129,8.6,,E
130,8.5,,M
131,8.5,7.8,M
132,,,
133,9.7,9.8,E
134,9.2,,T
135,,,M
136,8.5,,M
137,9.5,9.6,T
138,,,M
139,8.5,,M
140,8.6,,E
141,8.3,,
142,9.3,,E
143,7.7,,E
144,,,E10
145,8.3,,E
146,,,E10
147,8.5,,E
148,9.3,6.3,T
149,9,,T
150,7.8,,E
151,,,E
152,9.5,9.6,T
153,9.5,9.6,M
154,9.2,,E
155,,,E
156,9.5,,M
157,8.6,,E
158,,,
159,8.8,,M
160,8.7,,T
161,9.5,10,M
162,9,,M
163,9.4,9.5,T
164,7.8,,E
165,8.7,,E
