71,Nintendo EAD,2005,Animal Crossing: Wild World,Simulation,DS,Nintendo
72,Nintendo EPD,2017,The Legend of Zelda: Breath of the Wild,Action-Adventure,NS,Nintendo
73,Nintendo R&D1,1992,Super Mario Land 2: 6 Golden Coins,Platform,GB,Nintendo
74,Rockstar North,2008,Grand Theft Auto IV,Action,X360,Rockstar Games
75,Nintendo EAD,2004,Super Mario 64 DS,Platform,DS,Nintendo
76,Re-Logic,2011,Terraria,Platform,PC,Unknown
77,EA Canada,2016,FIFA 17,Sports,PS4,Electronic Arts
78,Polyphony Digital,1998,Gran Turismo,Racing,PS,Sony Computer Entertainment
79,Infinity Ward,2009,Call of Duty: Modern Warfare 2,Shooter,PS3,Activision
80,Rockstar North,2008,Grand Theft Auto IV,Action,PS3,Rockstar Games
81,Nintendo EAD,1993,Super Mario All-Stars,Platform,SNES,Nintendo
82,Infinity Ward,2013,Call of Duty: Ghosts,Shooter,X360,Activision
83,Ubisoft Paris,2011,Just Dance 3,Misc,Wii,Ubisoft
84,Infinity Ward,2013,Call of Duty: Ghosts,Shooter,PS3,Activision
85,Guerrilla Games,2017,Horizon: Zero Dawn,Action,PS4,Sony Interactive Entertainment
86,Game Freak,2018,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,NS,Nintendo
87,Frontier Developments,2004,RollerCoaster Tycoon 3,Strategy,PC,Atari
88,Bungie,2010,Halo: Reach,Shooter,X360,Microsoft Game Studios
89,Valve Software,2008,Portal,Shooter,PC,Valve Corporation
90,343 Industries,2012,Halo 4,Shooter,X360,Microsoft Studios
91,SquareSoft,1997,Final Fantasy VII,Role-Playing,PS,Sony Computer Entertainment
92,Nintendo EAD,1997,Mario Kart 64,Racing,N64,Nintendo
93,Blizzard Entertainment,1998,StarCraft,Strategy,PC,Blizzard Entertainment
94,Bandai Namco Games,2014,Super Smash Bros. for 3DS,Fighting,3DS,Nintendo
95,Infinity Ward,2007,Call of Duty 4: Modern Warfare,Shooter,X360,Activision
96,Polyphony Digital,1999,Gran Turismo 2,Racing,PS,Sony Computer Entertainment
97,"Nd Cube Co., Ltd.",2010,Wii Party,Misc,Wii,Nintendo
98,Treyarch,2018,Call of Duty: Black Ops IIII,Shooter,PS4,Activision
99,Hudson Soft,2007,Mario Party DS,Misc,DS,Nintendo
100,Rare Ltd.,1994,Donkey Kong Country,Platform,SNES,Nintendo
101,EA Sports,2018,FIFA 19,Sports,PS4,Electronic Arts
102,Facepunch Studios,2018,Rust,Action-Adventure,PC,Facepunch Studios
103,Insomniac Games,2018,Marvel's Spider-Man,Action-Adventure,PS4,Sony Interactive Entertainment
104,Valve Software,2004,Half-Life 2,Shooter,PC,VU Games
105,Bethesda Game Studios,2011,The Elder Scrolls V: Skyrim,Role-Playing,X360,Bethesda Softworks
106,Hudson Soft,2007,Mario Party 8,Misc,Wii,Nintendo
107,Nintendo EAD,1992,Super Mario Kart,Racing,SNES,Nintendo
108,Rockstar North,2014,Grand Theft Auto V,Action,XOne,Rockstar Games
109,Naughty Dog,2016,Uncharted 4: A Thief's End,Action,PS4,Sony Interactive Entertainment
110,SquareSoft,1999,Final Fantasy VIII,Role-Playing,PS,Square EA
111,SquareSoft,2001,Final Fantasy X,Role-Playing,PS2,Square
112,Game Freak,2012,Pokemon Black 2 and White 2,Role-Playing,DS,Nintendo
113,Infinity Ward,2016,Call of Duty: Infinite Warfare,Shooter,PS4,Activision
114,Bethesda Game Studios,2015,Fallout 4,Role-Playing,PS4,Bethesda Softworks
115,Nintendo,2014,Mario Kart 8,Racing,WiiU,Nintendo
116,Namco,1998,Tekken 3,Fighting,PS,Namco
117,Game Freak,2017,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,3DS,Nintendo
118,Nintendo EPD,2017,Splatoon 2,Shooter,NS,Nintendo
119,EA Canada,2015,FIFA 16,Sports,PS4,EA Sports
120,Rare Ltd.,1997,GoldenEye 007,Shooter,N64,Nintendo
121,EA DICE,2015,Star Wars Battlefront (2015),Shooter,PS4,Electronic Arts
122,EA Canada,2012,FIFA 13,Sports,PS3,EA Sports
123,Bungie Studios,2004,Halo 2,Shooter,XB,Microsoft Game Studios
124,EA Redwood Shores,2009,The Sims 3,Simulation,PC,Electronic Arts
125,Rockstar Leeds,2005,Grand Theft Auto: Liberty City Stories,Action,PSP,Rockstar Games
126,Atari,1982,Pac-Man,Puzzle,2600,Atari
127,Game Freak,2009,Pokemon Platinum Version,Role-Playing,DS,Nintendo
128,Nintendo EAD,1998,The Legend of Zelda: Ocarina of Time,Adventure,N64,Nintendo
129,Naughty Dog,1997,Crash Bandicoot 2: Cortex Strikes Back,Platform,PS,Sony Computer Entertainment
130,Sledgehammer Games,2014,Call of Duty: Advanced Warfare,Shooter,PS4,Activision
131,Treyarch,2008,Call of Duty: World at War,Shooter,X360,Activision
132,Nintendo EAD,1988,Super Mario Bros. 2,Platform,NES,Nintendo
133,Nintendo EAD Tokyo,2010,Super Mario Galaxy 2,Platform,Wii,Nintendo
134,HAL Laboratory,2001,Super Smash Bros. Melee,Fighting,GC,Nintendo
135,Treyarch,2015,Call of Duty: Black Ops 3,Shooter,XOne,Activision
136,Dice,2011,Battlefield 3,Shooter,X360,Electronic Arts
